algorithm,scale,i,rows,models,time
average_win_rate,4,5,100000,129,0.05377480199967977
bradley_terry,4,5,100000,129,0.054551111001273966
elo,4,5,100000,129,0.057554491999326274
eigen,4,5,100000,129,0.0545633750007255
pagerank,4,5,100000,129,0.05454033000023628
newman,4,5,100000,129,0.07167843299976084
counting,4,6,100000,129,0.053969008000422036
average_win_rate,4,6,100000,129,0.05496674799906032
bradley_terry,4,6,100000,129,0.055726652999510407
elo,4,6,100000,129,0.05792664699947636
eigen,4,6,100000,129,0.054672706999554066
pagerank,4,6,100000,129,0.05465731699950993
newman,4,6,100000,129,0.07766897100009373
counting,4,7,100000,129,0.05373375500130351
average_win_rate,4,7,100000,129,0.05460392599889019
bradley_terry,4,7,100000,129,0.05480001100113441
elo,4,7,100000,129,0.05772771800002374
eigen,4,7,100000,129,0.0541008439995494
pagerank,4,7,100000,129,0.05445865499859792
newman,4,7,100000,129,0.07882988500023203
counting,4,8,100000,129,0.05401118900044821
average_win_rate,4,8,100000,129,0.05366829299964593
bradley_terry,4,8,100000,129,0.05514396000035049
elo,4,8,100000,129,0.0576308230010909
eigen,4,8,100000,129,0.05406591599967214
pagerank,4,8,100000,129,0.053852559000006295
newman,4,8,100000,129,0.07007353800145211
counting,4,9,100000,129,0.05382303599981242
average_win_rate,4,9,100000,129,0.05412292300025001
bradley_terry,4,9,100000,129,0.05458087499937392
elo,4,9,100000,129,0.05829813000127615
eigen,4,9,100000,129,0.05410223699982453
pagerank,4,9,100000,129,0.05389093299891101
newman,4,9,100000,129,0.0739105330012535
counting,5,0,1000000,129,0.5537628380006936
average_win_rate,5,0,1000000,129,0.557447110000794
bradley_terry,5,0,1000000,129,0.566645160999542
elo,5,0,1000000,129,0.5983954740004265
eigen,5,0,1000000,129,0.5585428529993806
pagerank,5,0,1000000,129,0.5469066990008287
newman,5,0,1000000,129,0.576394486000936
counting,5,1,1000000,129,0.5776889749995462
average_win_rate,5,1,1000000,129,0.548370893999163
bradley_terry,5,1,1000000,129,0.5498180590002448
elo,5,1,1000000,129,0.5880861599998752
eigen,5,1,1000000,129,0.5541361949999555
pagerank,5,1,1000000,129,0.5486874909984181
newman,5,1,1000000,129,0.5748529020002024
counting,5,2,1000000,129,0.5465993010002421
average_win_rate,5,2,1000000,129,0.5473639329993603
bradley_terry,5,2,1000000,129,0.5530196299987438
elo,5,2,1000000,129,0.5931451379983628
eigen,5,2,1000000,129,0.5468321030002699
pagerank,5,2,1000000,129,0.5498886269997456
newman,5,2,1000000,129,0.5772298829997453
counting,5,3,1000000,129,0.5488438030006364
average_win_rate,5,3,1000000,129,0.5449507030007226
bradley_terry,5,3,1000000,129,0.550225651000801
elo,5,3,1000000,129,0.5890020560000266
eigen,5,3,1000000,129,0.5481600370003434
pagerank,5,3,1000000,129,0.5490529039998364
newman,5,3,1000000,129,0.5696388150008715
counting,5,4,1000000,129,0.5459083829991869
average_win_rate,5,4,1000000,129,0.5463461549989006
bradley_terry,5,4,1000000,129,0.5486129879991495
elo,5,4,1000000,129,0.5833805160000338
eigen,5,4,1000000,129,0.5468219840004167
pagerank,5,4,1000000,129,0.5512352870009636
newman,5,4,1000000,129,0.6313520179992338
counting,5,5,1000000,129,0.556015183999989
average_win_rate,5,5,1000000,129,0.5475488110005244
bradley_terry,5,5,1000000,129,0.5484229829999094
elo,5,5,1000000,129,0.5886215000009543
eigen,5,5,1000000,129,0.5477758569995785
pagerank,5,5,1000000,129,0.5512803410001652
newman,5,5,1000000,129,0.5693677109993587
counting,5,6,1000000,129,0.547499821999736
average_win_rate,5,6,1000000,129,0.5443652339999971
bradley_terry,5,6,1000000,129,0.5482724960002088
elo,5,6,1000000,129,0.5863554699990345
eigen,5,6,1000000,129,0.5470804319993476
pagerank,5,6,1000000,129,0.5527709140005754
newman,5,6,1000000,129,0.5702359510014503
counting,5,7,1000000,129,0.5458939679992909
average_win_rate,5,7,1000000,129,0.5459242629985965
bradley_terry,5,7,1000000,129,0.5540151549994334
elo,5,7,1000000,129,0.5894875640005921
eigen,5,7,1000000,129,0.547433497999009
pagerank,5,7,1000000,129,0.5461621030008246
newman,5,7,1000000,129,0.5741183169993747
counting,5,8,1000000,129,0.5458372670000244
average_win_rate,5,8,1000000,129,0.5499557429993729
bradley_terry,5,8,1000000,129,0.550853709999501
elo,5,8,1000000,129,0.5901601389996358
eigen,5,8,1000000,129,0.5537487739984499
pagerank,5,8,1000000,129,0.5535428399998636
newman,5,8,1000000,129,0.5766435830009868
counting,5,9,1000000,129,0.5553120160002436
average_win_rate,5,9,1000000,129,0.5486225860004197
bradley_terry,5,9,1000000,129,0.5499870700004976
elo,5,9,1000000,129,0.587571478999962
eigen,5,9,1000000,129,0.554911824001465
pagerank,5,9,1000000,129,0.551681938000911
newman,5,9,1000000,129,0.6301605019998533
counting,6,0,10000000,129,5.584956127000623
average_win_rate,6,0,10000000,129,5.546025948000533
bradley_terry,6,0,10000000,129,5.444556124999508
elo,6,0,10000000,129,5.811693602001469
eigen,6,0,10000000,129,5.484382615000868
pagerank,6,0,10000000,129,5.431257750000441
newman,6,0,10000000,129,5.447865680000177
counting,6,1,10000000,129,5.5414480269992055
average_win_rate,6,1,10000000,129,5.534390394001093
bradley_terry,6,1,10000000,129,5.513975445999677
elo,6,1,10000000,129,5.908209359000466
eigen,6,1,10000000,129,5.515909311001451
pagerank,6,1,10000000,129,5.5220202620002965
newman,6,1,10000000,129,5.576096300001154
counting,6,2,10000000,129,5.464235542000097
average_win_rate,6,2,10000000,129,5.463856446000136
bradley_terry,6,2,10000000,129,5.478453263998745
elo,6,2,10000000,129,5.844219248998343
eigen,6,2,10000000,129,5.442783524000333
pagerank,6,2,10000000,129,5.426823231000526
newman,6,2,10000000,129,5.502706528999624
counting,6,3,10000000,129,5.458096222000677
average_win_rate,6,3,10000000,129,5.444172005001747
bradley_terry,6,3,10000000,129,5.456373425000493
elo,6,3,10000000,129,5.869286351000483
eigen,6,3,10000000,129,5.475269013999423
pagerank,6,3,10000000,129,5.436610488999577
newman,6,3,10000000,129,5.534538046000307
counting,6,4,10000000,129,5.479107171999203
average_win_rate,6,4,10000000,129,5.489579851000599
bradley_terry,6,4,10000000,129,5.636063873000239
elo,6,4,10000000,129,5.888289676999193
eigen,6,4,10000000,129,5.604227809000804
pagerank,6,4,10000000,129,5.610040568999466
newman,6,4,10000000,129,5.603313765001076
counting,6,5,10000000,129,5.582531500998812
